Godot Engine v4.7.1.stable.official.a13da4feb - https://godotengine.org

HAT_MODEL_BOUNDS model=male center=(1.127418, 0.834995, 0.048598) size=(0.035078, 0.053691, 0.041719) socket=(1.510485, 1.929086, 0.061057)
HAT_RUNTIME_OK model=male id=beta_s1_ace_hat width=2.390 height=1.265 socket=(1.510485, 1.929086, 0.061057) center=(1.450396, 2.226771, -0.021885)
HAT_RUNTIME_OK model=male id=beta_s1_level_30_hat width=1.580 height=0.845 socket=(1.510485, 1.929086, 0.061057) center=(1.465485, 1.826776, 0.211057)
HAT_RUNTIME_OK model=male id=hat_chef width=1.478 height=1.566 socket=(1.510485, 1.929086, 0.061057) center=(1.465485, 2.534595, 0.169474)
HAT_RUNTIME_OK model=male id=hat_cowboy_classic width=2.031 height=0.594 socket=(1.510485, 1.929086, 0.061057) center=(1.480731, 2.131606, 0.170848)
HAT_RUNTIME_OK model=male id=hat_cowboy_wide width=2.280 height=0.551 socket=(1.510485, 1.929086, 0.061057) center=(1.445485, 1.974503, 0.161057)
HAT_RUNTIME_OK model=male id=hat_crown width=1.990 height=1.690 socket=(1.510485, 1.929086, 0.061057) center=(1.465485, 2.473873, 0.061057)
HAT_RUNTIME_OK model=male id=hat_fedora_black width=1.956 height=0.861 socket=(1.510485, 1.929086, 0.061057) center=(1.495485, 2.010099, 0.044643)
HAT_RUNTIME_OK model=male id=hat_fedora_white width=1.570 height=0.687 socket=(1.510485, 1.929086, 0.061057) center=(1.490485, 2.147519, 0.126057)
HAT_RUNTIME_OK model=male id=hat_straw_adventurer width=1.660 height=0.508 socket=(1.510485, 1.929086, 0.061057) center=(1.470485, 2.113008, 0.141057)
HAT_RUNTIME_OK model=male id=hat_top width=1.668 height=1.089 socket=(1.510485, 1.929086, 0.061057) center=(1.473436, 2.198582, 0.176057)
HAT_RUNTIME_OK model=male id=hat_witch width=2.000 height=1.302 socket=(1.510485, 1.929086, 0.061057) center=(1.449904, 2.335182, 0.137455)
HAT_RUNTIME_OK model=male id=hat_yellow_point width=1.762 height=1.930 socket=(1.510485, 1.929086, 0.061057) center=(1.450485, 2.31645, 0.261273)
HAT_MODEL_BOUNDS model=female center=(0.011179, -0.00469, 0.00828) size=(0.035078, 0.041719, 0.053691) socket=(1.499756, 1.912242, 0.484002)
HAT_RUNTIME_OK model=female id=beta_s1_ace_hat width=2.390 height=1.265 socket=(1.499756, 1.912242, 0.484002) center=(1.439667, 2.209928, 0.40106)
HAT_RUNTIME_OK model=female id=beta_s1_level_30_hat width=1.580 height=0.845 socket=(1.499756, 1.912242, 0.484002) center=(1.454756, 1.809933, 0.634002)
HAT_RUNTIME_OK model=female id=hat_chef width=1.478 height=1.566 socket=(1.499756, 1.912242, 0.484002) center=(1.454756, 2.517751, 0.592419)
HAT_RUNTIME_OK model=female id=hat_cowboy_classic width=2.031 height=0.594 socket=(1.499756, 1.912242, 0.484002) center=(1.470002, 2.114762, 0.593793)
HAT_RUNTIME_OK model=female id=hat_cowboy_wide width=2.280 height=0.551 socket=(1.499756, 1.912242, 0.484002) center=(1.434756, 1.957659, 0.584002)
HAT_RUNTIME_OK model=female id=hat_crown width=1.990 height=1.690 socket=(1.499756, 1.912242, 0.484002) center=(1.454756, 2.457029, 0.484003)
HAT_RUNTIME_OK model=female id=hat_fedora_black width=1.956 height=0.861 socket=(1.499756, 1.912242, 0.484002) center=(1.484756, 1.993255, 0.467589)
HAT_RUNTIME_OK model=female id=hat_fedora_white width=1.570 height=0.687 socket=(1.499756, 1.912242, 0.484002) center=(1.479756, 2.130675, 0.549002)
